name,lat,lon,open,close,type,province
วัดอรัญญวาส (วัดบ้านปง),18.7503518,98.8848015,8:00,16:00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
เฮินศิลป์ใจ๋ยอง,18.725255,99.1027201,10:00,16:00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
วัดพระนอนแม่ปูคา,18.7661847,99.0989249,6:00,17:00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
กาดฝรั่ง วิลเลจ ,18.7017479,98.9317999,10:00,22:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
วัดป่าตึง,18.7203237,99.2089058,8:00,17:00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
ดัชฟาร์ม ฟาร์มม้าแคระ เชียงใหม่ ,18.7331969,99.1956086,9:00,18:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
ตลาดฉำฉา ,18.7853061,99.0477042,9:00,14:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
พิพิธภัณฑ์ศิลปะร่วมสมัยใหม่เอี่ยม ,18.7572293,99.0936812,10:00,18:00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
ชุมชนโหล่งฮิมคาว,18.7851354,99.0477307,10:00,17:00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
ฮิมน้ำแม่จะ,18.8763298,98.7980787,9:00,18:00,แหล่งท่องเที่ยวสำหรับกิจกรรมพิเศษ นันทนาการ และความสนใจพิเศษ,chiangmai
วัดป่าดาราภิรมย์,18.9107217,98.9412655,8:00,18:00,แหล่งท่องเที่ยวทางประวัติศาสตร์ และวัฒนธรรม,chiangmai
สวนส้มยอดดอย,18.9546907,98.8052046,7:00,18:00,แหล่งท่องเที่ยวทางธรรมชาติ,chiangmai
