name,lat,lon,capacity,power_kw,type,district,,,
Liikennevirta Oy (CPO) Charging Station เซ็นทรัล เชียงใหม่,18.806812,99.018187,4,7,AC,เมืองเชียงใหม่,,,
สถานีชาร์จรถไฟฟ้า PTT EV Station Pluz ปตท. สารภี 1 ขาเข้าเชียงใหม่ บจก.สุขุมเซอร์วิส,18.678688,99.050062,2,120,DC,สารภี,,,
MEA EV Charging Station ถนนวิภาวดีรังสิต ตำบลศรีภูมิ,18.789063,98.985187,2,120,DC,เมืองเชียงใหม่,,,
EVAT Charging Station ถ.ห้วยแก้ว ตำบลสุเทพ,18.803063,98.964313,2,120,DC,เมืองเชียงใหม่,,,
EA Anywhere Charging Station  ตำบลหนองแก๋ว อำเภอหางดง ,18.688063,98.928188,2,120,DC,หางดง ,,,
EA Anywhere Charging Station ตำบลริมเหนือ อำเภอแม่ริม,18.926063,98.939188,2,120,DC,แม่ริม ,,,
สถานีชาร์จรถไฟฟ้า PTT EV Station Pluz ตำบลทุ่งรวงทอง อำเภอแม่วาง,18.55375,98.84875,2,120,DC,แม่วาง,,,
สถานีชาร์จรถไฟฟ้า PTT EV Station Pluz ตำบลขี้เหล็ก อำเภอแม่แตง,19.082187,98.936188,2,120,DC,แม่แตง,,,
สถานีชาร์จ EA Anywhere ตำบลดอยหล่อ อำเภอดอยหล่อ,18.451313,98.752062,2,120,DC,ดอยหล่อ,,,
สถานีชาร์จรถยนต์ไฟฟ้า PEA การไฟฟ้าส่วนภูมิภาคสาขาฮอด,18.172562,98.610937,1,25,AC,ฮอด,,,
สถานีชาร์จรถยนต์ไฟฟ้า ถนนหมื่นด้ามพร้าคต ตำบลช้างเผือก,18.804688,98.993437,1,7,AC,เมืองเชียงใหม่,,,
PTT Station ปตท. สารภี สาขา 2 ขาเข้าลำพูน,18.66963,99.05187,2,120,DC,สารภี,,,
PTT Station ปตท. สารภี สาขา 2 ขาเข้าเชียงใหม่ บจ.สุขุมเซอร์วิส,18.67862,99.05002,2,120,DC,สารภี,,,
PTT Station ปตท. สารภี สาขาสารภี2  ต.หนองผึ้ง,18.74783,99.03425,2,120,DC,สารภี,,,
PTT Station ปตท. สารภี สาขาสารภี2  ต.หนองผึ้ง,18.74783,99.03425,1,22,AC,สารภี,,,
PTT Station ปตท. สารภี หจก.สหทวีปิโตรเลียม  ต.หนองผึ้ง,18.738553,99.014685,2,120,DC,สารภี,,,
สถานีชาร์จ PEA VOLTA ตำบลวัดเกตุ อ.เมืองเชียงใหม่,18.773944,99.007528,2,120,DC,เมืองเชียงใหม่,,,
สถานีชาร์จ PEA VOLTA ตำบลวัดเกตุ อ.เมืองเชียงใหม่,18.773944,99.007528,1,25,AC,เมืองเชียงใหม่,,,
ปั๊มพีที เชียงใหม่ ตำบลแม่เหียะ อำเภอเมืองเชียงใหม่ ,18.7399722,98.9576667,2,184,DC,เมืองเชียงใหม่,,,
ปั๊มพีที เชียงใหม่8 ตำบลป่าแดด อำเภอเมืองเชียงใหม่ ,18.7661389,98.975972,2,368,DC,เมืองเชียงใหม่,,,
โรงพยาบาลเชียงใหม่ ราม อาคารจอดรถ ชั้น P3,18.795,98.977944,2,7.68,AC,เมืองเชียงใหม่,,,
ปั๊มพีที หางดง7 ตำบลสันผักหวาน อำเภอหางดง,18.719778,98.971417,2,360,DC,หางดง,,,
สถานีชาร์จ PEA หางดง ตำบลหนองแก๋ว อำเภอหางดง,18.688056,98.928167,1,25,AC,หางดง,,,
One nimman PEA ,18.800444,98.968972,1,7.68,AC,เมืองเชียงใหม่,,,
One nimman PEA ,18.800444,98.968972,2,368,DC,เมืองเชียงใหม่,,,
สวนสัตว์เชียงใหม่ EVAT,18.809438,98.947812,3,22,AC,เมืองเชียงใหม่,,,
